date,n_calls,n_answered,answer_machines,answ_m_share,answered_share,leads,lead_fr_answered,approved,approved_share,approved_of_answered
12.05.2022,27004,8909,1016,0.038,0.330,179,0.020,121,0.676,0.014
13.05.2022,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
14.05.2022,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
15.05.2022,93556,53194,7854,0.084,0.569,908,0.017,657,0.724,0.012
16.05.2022,52348,26184,3379,0.065,0.500,565,0.022,427,0.756,0.016
17.05.2022,60575,30519,4169,0.069,0.504,611,0.020,433,0.709,0.014
18.05.2022,62558,30872,4122,0.066,0.493,608,0.020,441,0.725,0.014
19.05.2022,50382,23918,3211,0.064,0.475,602,0.025,442,0.734,0.018
20.05.2022,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
21.05.2022,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
22.05.2022,54582,27928,3804,0.070,0.512,606,0.022,432,0.713,0.015
23.05.2022,59383,29842,3911,0.066,0.503,603,0.020,420,0.697,0.014
24.05.2022,56293,31219,4102,0.073,0.555,605,0.019,344,0.569,0.011
25.05.2022,52928,27391,3763,0.071,0.518,603,0.022,359,0.595,0.013
26.05.2022,53939,26532,3680,0.068,0.492,603,0.023,393,0.652,0.015
27.05.2022,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
28.05.2022,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
29.05.2022,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
30.05.2022,57150,31764,5035,0.088,0.556,605,0.019,373,0.617,0.012
31.05.2022,84005,42384,5818,0.069,0.505,905,0.021,555,0.613,0.013
